simulation_id,simulation_seed,simulation_date_time,simulation_num_games,game_id,game_name,game_number,game_seed,player_name,player_class,player_choose_card_strategy,player_choose_row_strategy,is_winner,total_points,round_1_points,round_2_points,round_3_points,round_4_points
ef22a71b-ce33-4168-b3d1-94199f251a06,42,2025-10-12 21:19:50.501680,100,18,2 max and 1 RL evolution strategy player,0,893,Max player 1,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,True,29,13,6,3,7
ef22a71b-ce33-4168-b3d1-94199f251a06,42,2025-10-12 21:19:50.501680,100,18,2 max and 1 RL evolution strategy player,0,893,Max player 2,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,False,36,2,16,11,7
ef22a71b-ce33-4168-b3d1-94199f251a06,42,2025-10-12 21:19:50.501680,100,18,2 max and 1 RL evolution strategy player,0,893,RL ES player 1 - learner,RLEvolutionStrategyPlayer,RLEvolutionStrategyChooseCardStrategy,MinPointsChooseRowStrategy,False,66,13,17,15,21
ef22a71b-ce33-4168-b3d1-94199f251a06,42,2025-10-12 21:19:50.501680,100,18,2 max and 1 RL evolution strategy player,1,7739,Max player 1,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,False,37,17,9,0,11
ef22a71b-ce33-4168-b3d1-94199f251a06,42,2025-10-12 21:19:50.501680,100,18,2 max and 1 RL evolution strategy player,1,7739,Max player 2,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,False,48,4,25,16,3
ef22a71b-ce33-4168-b3d1-94199f251a06,42,2025-10-12 21:19:50.501680,100,18,2 max and 1 RL evolution strategy player,1,7739,RL ES player 1 - learner,RLEvolutionStrategyPlayer,RLEvolutionStrategyChooseCardStrategy,MinPointsChooseRowStrategy,True,15,0,0,6,9
ef22a71b-ce33-4168-b3d1-94199f251a06,42,2025-10-12 21:19:50.501680,100,18,2 max and 1 RL evolution strategy player,2,6546,Max player 1,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,True,20,0,13,0,7
ef22a71b-ce33-4168-b3d1-94199f251a06,42,2025-10-12 21:19:50.501680,100,18,2 max and 1 RL evolution strategy player,2,6546,Max player 2,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,False,68,22,19,27,0
ef22a71b-ce33-4168-b3d1-94199f251a06,42,2025-10-12 21:19:50.501680,100,18,2 max and 1 RL evolution strategy player,2,6546,RL ES player 1 - learner,RLEvolutionStrategyPlayer,RLEvolutionStrategyChooseCardStrategy,MinPointsChooseRowStrategy,False,22,0,0,7,15
ef22a71b-ce33-4168-b3d1-94199f251a06,42,2025-10-12 21:19:50.501680,100,18,2 max and 1 RL evolution strategy player,3,4389,Max player 1,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,False,45,7,20,18,0
ef22a71b-ce33-4168-b3d1-94199f251a06,42,2025-10-12 21:19:50.501680,100,18,2 max and 1 RL evolution strategy player,3,4389,Max player 2,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,False,35,11,0,8,16
ef22a71b-ce33-4168-b3d1-94199f251a06,42,2025-10-12 21:19:50.501680,100,18,2 max and 1 RL evolution strategy player,3,4389,RL ES player 1 - learner,RLEvolutionStrategyPlayer,RLEvolutionStrategyChooseCardStrategy,MinPointsChooseRowStrategy,True,18,4,6,0,8
ef22a71b-ce33-4168-b3d1-94199f251a06,42,2025-10-12 21:19:50.501680,100,18,2 max and 1 RL evolution strategy player,4,4330,Max player 1,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,True,23,0,23,0,0
ef22a71b-ce33-4168-b3d1-94199f251a06,42,2025-10-12 21:19:50.501680,100,18,2 max and 1 RL evolution strategy player,4,4330,Max player 2,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,False,46,0,0,22,24
ef22a71b-ce33-4168-b3d1-94199f251a06,42,2025-10-12 21:19:50.501680,100,18,2 max and 1 RL evolution strategy player,4,4330,RL ES player 1 - learner,RLEvolutionStrategyPlayer,RLEvolutionStrategyChooseCardStrategy,MinPointsChooseRowStrategy,False,42,23,12,4,3
ef22a71b-ce33-4168-b3d1-94199f251a06,42,2025-10-12 21:19:50.501680,100,18,2 max and 1 RL evolution strategy player,5,8586,Max player 1,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,False,41,7,0,24,10
ef22a71b-ce33-4168-b3d1-94199f251a06,42,2025-10-12 21:19:50.501680,100,18,2 max and 1 RL evolution strategy player,5,8586,Max player 2,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,False,42,4,21,3,14
