simulation_id,simulation_seed,simulation_date_time,simulation_num_games,game_id,game_name,game_number,game_seed,player_name,player_class,player_choose_card_strategy,player_choose_row_strategy,is_winner,total_points,round_1_points,round_2_points,round_3_points,round_4_points
13d50a30-4a37-4975-9385-281e2aece89e,42,2025-10-01 17:57:15.341684,1000,10,2 max and 1 RL player learner,0,83811,Max player 1,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,False,35,5,12,18,0
13d50a30-4a37-4975-9385-281e2aece89e,42,2025-10-01 17:57:15.341684,1000,10,2 max and 1 RL player learner,0,83811,Max player 2,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,True,31,0,10,2,19
13d50a30-4a37-4975-9385-281e2aece89e,42,2025-10-01 17:57:15.341684,1000,10,2 max and 1 RL player learner,0,83811,RL player 1 - learner,RLPlayerLearner,RLChooseCardStrategyLearner,MinPointsChooseRowStrategy,False,42,17,6,10,9
13d50a30-4a37-4975-9385-281e2aece89e,42,2025-10-01 17:57:15.341684,1000,10,2 max and 1 RL player learner,1,14593,Max player 1,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,False,31,13,0,3,15
13d50a30-4a37-4975-9385-281e2aece89e,42,2025-10-01 17:57:15.341684,1000,10,2 max and 1 RL player learner,1,14593,Max player 2,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,False,56,16,28,12,0
13d50a30-4a37-4975-9385-281e2aece89e,42,2025-10-01 17:57:15.341684,1000,10,2 max and 1 RL player learner,1,14593,RL player 1 - learner,RLPlayerLearner,RLChooseCardStrategyLearner,MinPointsChooseRowStrategy,True,19,2,1,8,8
13d50a30-4a37-4975-9385-281e2aece89e,42,2025-10-01 17:57:15.341684,1000,10,2 max and 1 RL player learner,2,3279,Max player 1,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,False,73,17,8,28,20
13d50a30-4a37-4975-9385-281e2aece89e,42,2025-10-01 17:57:15.341684,1000,10,2 max and 1 RL player learner,2,3279,Max player 2,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,True,9,2,4,0,3
13d50a30-4a37-4975-9385-281e2aece89e,42,2025-10-01 17:57:15.341684,1000,10,2 max and 1 RL player learner,2,3279,RL player 1 - learner,RLPlayerLearner,RLChooseCardStrategyLearner,MinPointsChooseRowStrategy,False,33,8,14,5,6
13d50a30-4a37-4975-9385-281e2aece89e,42,2025-10-01 17:57:15.341684,1000,10,2 max and 1 RL player learner,3,97197,Max player 1,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,True,15,4,6,5,0
13d50a30-4a37-4975-9385-281e2aece89e,42,2025-10-01 17:57:15.341684,1000,10,2 max and 1 RL player learner,3,97197,Max player 2,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,False,65,25,20,10,10
13d50a30-4a37-4975-9385-281e2aece89e,42,2025-10-01 17:57:15.341684,1000,10,2 max and 1 RL player learner,3,97197,RL player 1 - learner,RLPlayerLearner,RLChooseCardStrategyLearner,MinPointsChooseRowStrategy,False,31,1,5,13,12
13d50a30-4a37-4975-9385-281e2aece89e,42,2025-10-01 17:57:15.341684,1000,10,2 max and 1 RL player learner,4,36049,Max player 1,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,False,22,0,3,5,14
13d50a30-4a37-4975-9385-281e2aece89e,42,2025-10-01 17:57:15.341684,1000,10,2 max and 1 RL player learner,4,36049,Max player 2,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,False,73,18,17,11,27
13d50a30-4a37-4975-9385-281e2aece89e,42,2025-10-01 17:57:15.341684,1000,10,2 max and 1 RL player learner,4,36049,RL player 1 - learner,RLPlayerLearner,RLChooseCardStrategyLearner,MinPointsChooseRowStrategy,True,20,2,5,13,0
13d50a30-4a37-4975-9385-281e2aece89e,42,2025-10-01 17:57:15.341684,1000,10,2 max and 1 RL player learner,5,32099,Max player 1,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,True,26,4,2,18,2
13d50a30-4a37-4975-9385-281e2aece89e,42,2025-10-01 17:57:15.341684,1000,10,2 max and 1 RL player learner,5,32099,Max player 2,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,False,42,3,23,0,16
13d50a30-4a37-4975-9385-281e2aece89e,42,2025-10-01 17:57:15.341684,1000,10,2 max and 1 RL player learner,5,32099,RL player 1 - learner,RLPlayerLearner,RLChooseCardStrategyLearner,MinPointsChooseRowStrategy,False,26,14,1,3,8
13d50a30-4a37-4975-9385-281e2aece89e,42,2025-10-01 17:57:15.341684,1000,10,2 max and 1 RL player learner,6,29257,Max player 1,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,False,56,19,14,17,6
13d50a30-4a37-4975-9385-281e2aece89e,42,2025-10-01 17:57:15.341684,1000,10,2 max and 1 RL player learner,6,29257,Max player 2,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,False,35,10,11,3,11
13d50a30-4a37-4975-9385-281e2aece89e,42,2025-10-01 17:57:15.341684,1000,10,2 max and 1 RL player learner,6,29257,RL player 1 - learner,RLPlayerLearner,RLChooseCardStrategyLearner,MinPointsChooseRowStrategy,True,19,0,8,3,8
13d50a30-4a37-4975-9385-281e2aece89e,42,2025-10-01 17:57:15.341684,1000,10,2 max and 1 RL player learner,7,18290,Max player 1,MaxPlayer,LevelChooseCardStrategy,MinPointsChooseRowStrategy,False,31,20,11,0,0
